h: 0.01
xi step: 0.001
xi: 0.1392851562500001
+----------------------+------------------------+------------------------+--------------------+
|          z           |          u_p           |           u            |         F          |
+----------------------+------------------------+------------------------+--------------------+
|          0           | 2.8051367738329683e-06 | 3.907139138459462e-07  |         0          |
|         0.01         | 2.8051366671966588e-06 | 3.9069638688218237e-07 | 112.6734732187153  |
|         0.02         |  2.80513506765232e-06  | 3.9064380565231934e-07 | 225.34933243080874 |
|         0.03         | 2.8051281362997184e-06 | 3.905561691163078e-07  | 338.02969251146135 |
|         0.04         | 2.805109475015856e-06  | 3.9043347580743415e-07 | 450.7161260831536  |
|         0.05         | 2.8050701266051685e-06 | 3.9027572420377206e-07 | 563.4093923355357  |
| 0.060000000000000005 | 2.804998575178028e-06  | 3.900829132587052e-07  | 676.1091658148041  |
|         0.07         | 2.8048807469257573e-06 | 3.898550430834428e-07  | 788.8137652181538  |
|         0.08         | 2.8047000115084567e-06 | 3.895921157812335e-07  | 901.5198822721487  |
|         0.09         | 2.8044371843199425e-06 | 3.8929413643311233e-07 | 1014.2223108255195 |
| 0.09999999999999999  | 2.8040705299422175e-06 | 3.8896111423491334e-07 | 1126.913676348908  |
| 0.10999999999999999  | 2.8035757671498283e-06 | 3.885930637851017e-07  | 1239.5841661063712 |
| 0.11999999999999998  | 2.8029260758725474e-06 | 3.881900065227387e-07  | 1352.2212603460027 |
| 0.12999999999999998  | 2.802092106572713e-06  |  3.87751972314581e-07  | 1464.8094649497161 |
| 0.13999999999999999  | 2.8010419925415423e-06 | 3.8727900118992966e-07 | 1577.3300460849728 |
|         0.15         | 2.7997413656665273e-06 | 3.867711452213711e-07  | 1689.7607675138372 |
|         0.16         | 2.798153376269759e-06  | 3.8622847054899127e-07 | 1802.0756313369807 |
|         0.17         | 2.796238717664741e-06  | 3.856510595449828e-07  | 1914.2446230818464 |
| 0.18000000000000002  | 2.7939556561266402e-06 | 3.8503901311479936e-07 | 2026.2334621847326 |
| 0.19000000000000003  | 2.7912600670182544e-06 |  3.84392453130137e-07  | 2138.003359065572  |
| 0.20000000000000004  | 2.7881054778609763e-06 | 3.8371152498802995e-07 | 2249.5107801510935 |
| 0.21000000000000005  | 2.784443119186839e-06  | 3.8299640028923824e-07 |  2360.70722236611  |
| 0.22000000000000006  | 2.780221984053993e-06  | 3.822472796278703e-07  | 2471.5389987830176 |
| 0.23000000000000007  | 2.7753888971538987e-06 | 3.814643954828257e-07  | 2581.947037295179  |
| 0.24000000000000007  | 2.7698885944838365e-06 | 3.8064801520015866e-07 | 2691.8666943594594 |
| 0.25000000000000006  | 2.763663814602873e-06  | 3.797984440538558e-07  | 2801.227586035392  |
| 0.26000000000000006  | 2.756655402533281e-06  | 3.7891602837079354e-07 | 2909.9534387315884 |
|  0.2700000000000001  |  2.74880242741194e-06  | 3.780011587037967e-07  | 3017.9619622522127 |
|  0.2800000000000001  | 2.740042315037683e-06  | 3.770542730347704e-07  | 3125.164747915435  |
|  0.2900000000000001  | 2.730310996500416e-06  | 3.760758599878305e-07  | 3231.4671946893445 |
|  0.3000000000000001  | 2.7195430741155037e-06 | 3.750664620302312e-07  | 3336.7684664560884 |
|  0.3100000000000001  | 2.7076720059225484e-06 | 3.740266786366931e-07  | 3440.961483668929  |
|  0.3200000000000001  | 2.694630310040263e-06  | 3.729571693905025e-07  | 3543.9329528061094 |
|  0.3300000000000001  | 2.680349790198087e-06  | 3.718586569924957e-07  | 3645.5634371460824 |
| 0.34000000000000014  | 2.664761783790226e-06  | 3.707319301468006e-07  | 3745.7274724866666 |
| 0.35000000000000014  | 2.6477974338172028e-06 | 3.695778462900094e-07  | 3844.293731501539  |
| 0.36000000000000015  | 2.629387986093519e-06  | 3.6839733412834106e-07 | 3941.1252404661905 |
| 0.37000000000000016  | 2.6094651131056154e-06 | 3.671913959453646e-07  | 4036.0796520867893 |
